G,A,H,W,SA,MF,ML,DC,AC,DR,CH,CF
m,23,182,81,2,55,172,44,16.3,34,54.6,38
m,24,184,71,1.94,46,145,44,17.6,34,52.5,40.4
m,24,196,96,2.3,58,210,52,25,41,68.8,47.6
m,25,183,74,1.96,62,228,49,18.6,36,60.3,41.1
m,26,172,74,1.87,55,145,44,16.7,32,44.6,47
m,26,181,93,2.15,63,193,43,15.6,37,43.8,37.8
m,26,190,73,2,47,160,43,16.3,32,40.7,34
m,26,172,57,1.67,47,138,42,15.1,31,38.9,29.3
m,27,188,83,2.09,53,201,49,15.8,34,55.6,39.4
m,28,184,84,2.07,50,178,46,19.7,32,45.5,37.6
m,30,170,64,1.74,39,130,43,14.8,38,33.6,46.5
m,30,186,83,2.09,52,175,47,17.5,41,43.2,50.6
m,30,178,88,2.07,49,195,44,17.2,33,47.7,40.9
m,31,186,84,2.09,49,173,46,15.6,37,48.5,50.5
m,31,185,82,2.05,52,163,50,22,37,51.8,35.8
m,31,192,80,2.1,65,145,48,19.7,35,40.6,44.3
m,31,188,77,2.02,49,203,46,18.4,36,55.6,40.9
m,32,171,75,1.86,47,120,44,16.7,28,42.6,35.6
m,32,186,77,2.05,56,173,45,18,33,55.1,36.2
m,32,177,72,1.88,52,159,48,20.6,33,54.2,35.9
m,32,184,70,1.9,55,158,45,17.6,34,56.9,35.9
m,34,173,61,1.73,57,168,40,15.2,27,38,35.5
m,38,156,62,1.61,39,130,41,12.5,31,28.6,28.4
m,38,183,82,2.04,56,148,49,19.6,26,45.1,33.5
m,38,180,69,1.88,55,183,46,16.6,32,47.6,37.6
m,39,178,70,1.87,40,145,45,17.2,29,38.5,40.4
m,41,175,83,1.98,42,153,38,12.9,30,38.3,26.4
m,41,174,90,2.04,55,146,48,19.7,37,53.7,42.5
m,42,169,73,1.83,54,160,46,16.6,34,53.8,37.1
m,42,162,62,1.65,48,173,43,14.8,34,53.7,38.9
m,42,182,88,2.1,59,148,44,15.8,38,52.5,36.3
m,46,172,62,1.73,43,140,44,16.3,34,40.4,41.8
m,46,181,77,1.96,56,138,44,18.5,40,40.5,33.8
m,48,180,94,2.14,53,120,42,19.7,34,38.3,38.4
m,48,184,86,2.09,57,143,51,21.4,35,52.6,33.3
m,49,178,85,2.02,35,130,49,21.6,38,44.7,41.9
m,50,173,66,1.79,39,148,45,18.5,39,38.4,36.1
m,51,170,57,1.65,29,108,44,15,34,43.7,43.1
m,52,174,73,1.87,40,133,49,20.1,34,56.6,36
m,52,174,76,1.9,55,138,46,18.9,38,50.8,40
m,52,164,52,1.55,46,153,43,17.6,33,26.8,32.8
m,53,178,72,1.89,55,105,46,18.9,40,38.4,34
m,53,175,56,1.68,39,100,43,12.5,31,22.7,24.6
m,54,178,73,1.9,54,178,43,17.2,36,33.1,38.3
